'Depth(m)'	'AI_from_well_tie(m/s x g/cc)'	'Synthetic_from_well_tie'	'AI_from_well_tie_Smoothed(m/s x g/cc)'
0	1e30	1e30	1e30
0.1524	1e30	1e30	1e30
0.3048	1e30	1e30	1e30
0.4572	1e30	1e30	1e30
0.6096	1e30	1e30	1e30
0.762	1e30	1e30	1e30
0.9144	1e30	1e30	1e30
1.0668	1e30	1e30	1e30
1.2192	1e30	1e30	1e30
1.3716	1e30	1e30	1e30
1.524	1e30	1e30	1e30
1.6764	1e30	1e30	1e30
1.8288	1e30	1e30	1e30
1.9812	1e30	1e30	1e30
2.1336	1e30	1e30	1e30
2.286	1e30	1e30	1e30
2.4384	1e30	1e30	1e30
2.5908	1e30	1e30	1e30
2.7432	1e30	1e30	1e30
2.8956	1e30	1e30	1e30
3.048	1e30	1e30	1e30
3.2004	1e30	1e30	1e30
3.3528	1e30	1e30	1e30
3.5052	1e30	1e30	1e30
3.6576	1e30	1e30	1e30
3.81	1e30	1e30	1e30
3.9624	1e30	1e30	1e30
4.1148	1e30	1e30	1e30
4.2672	1e30	1e30	1e30
4.4196	1e30	1e30	1e30
4.572	1e30	1e30	1e30
4.7244	1e30	1e30	1e30
4.8768	1e30	1e30	1e30
5.0292	1e30	1e30	1e30
5.1816	1e30	1e30	1e30
5.334	1e30	1e30	1e30
5.4864	1e30	1e30	1e30
5.6388	1e30	1e30	1e30
5.7912	1e30	1e30	1e30
5.9436	1e30	1e30	1e30
6.096	1e30	1e30	1e30
6.2484	1e30	1e30	1e30
6.4008	1e30	1e30	1e30
6.5532	1e30	1e30	1e30
6.7056	1e30	1e30	1e30
6.858	1e30	1e30	1e30
7.0104	1e30	1e30	1e30
7.1628	1e30	1e30	1e30
7.3152	1e30	1e30	1e30
7.4676	1e30	1e30	1e30
7.62	1e30	1e30	1e30
7.7724	1e30	1e30	1e30
7.9248	1e30	1e30	1e30
8.0772	1e30	1e30	1e30
8.2296	1e30	1e30	1e30
8.382	1e30	1e30	1e30
8.5344	1e30	1e30	1e30
8.6868	1e30	1e30	1e30
8.8392	1e30	1e30	1e30
8.9916	1e30	1e30	1e30
9.144	1e30	1e30	1e30
9.2964	1e30	1e30	1e30
9.4488	1e30	1e30	1e30
9.6012	1e30	1e30	1e30
9.7536	1e30	1e30	1e30
9.906	1e30	1e30	1e30
10.0584	1e30	1e30	1e30
10.2108	1e30	1e30	1e30
10.3632	1e30	1e30	1e30
10.5156	1e30	1e30	1e30
10.668	1e30	1e30	1e30
10.8204	1e30	1e30	1e30
10.9728	1e30	1e30	1e30
11.1252	1e30	1e30	1e30
11.2776	1e30	1e30	1e30
11.43	1e30	1e30	1e30
11.5824	1e30	1e30	1e30
11.7348	1e30	1e30	1e30
11.8872	1e30	1e30	1e30
12.0396	1e30	1e30	1e30
12.192	1e30	1e30	1e30
12.3444	1e30	1e30	1e30
12.4968	1e30	1e30	1e30
12.6492	1e30	1e30	1e30
12.8016	1e30	1e30	1e30
12.954	1e30	1e30	1e30
13.1064	1e30	1e30	1e30
13.258801	1e30	1e30	1e30
13.411201	1e30	1e30	1e30
13.563601	1e30	1e30	1e30
13.716001	1e30	1e30	1e30
13.868401	1e30	1e30	1e30
14.020801	1e30	1e30	1e30
14.173201	1e30	1e30	1e30
14.325601	1e30	1e30	1e30
14.478001	1e30	1e30	1e30
14.6304	1e30	1e30	1e30
14.7828	1e30	1e30	1e30
14.9352	1e30	1e30	1e30
15.0876	1e30	1e30	1e30
15.24	1e30	1e30	1e30
15.3924	1e30	1e30	1e30
15.5448	1e30	1e30	1e30
15.6972	1e30	1e30	1e30
15.8496	1e30	1e30	1e30
16.002001	1e30	1e30	1e30
16.1544	1e30	1e30	1e30
16.306801	1e30	1e30	1e30
16.4592	1e30	1e30	1e30
16.611601	1e30	1e30	1e30
16.764	1e30	1e30	1e30
16.916401	1e30	1e30	1e30
17.0688	1e30	1e30	1e30
