MD(m)	TVD(m)	TVDSS(m)	Color
30	30	-4.1	Seasurface
479.74	479.7	445.6	MFS11
515.3419189	515.30188	481.2019043	FS11
547.75	547.709961	513.6099854	MFS10
547.75	547.709961	513.6099854	MFS9
547.75	547.709961	513.6099854	MFS8
568.9735718	568.9335327	534.8335571	FS8
583.9725952	583.9325562	549.832581	FS7
662.539917	662.4990845	628.3991089	Truncation
697.1099854	697.0655518	662.9655762	Top Foresets
856.0800171	856.020081	821.920105	FS6
916.6807251	916.6207886	882.520813	MFS4
946.5	946.4400635	912.3400879	FS4
1024.3900146	1024.3200684	990.2200928	FS3
1071.12	1071.0499268	1036.9499512	FS2
1111.13	1111.0599365	1076.959961	MFS2
1200.9300537	1200.8599854	1166.76001	FS1
1246	1245.925293	1211.8253174	MMU
