X(m)	Y(m)	Z(m)	TVD(m)	MD(m)
623255.98	6082586.87	-34.1	0	0
623255.98	6082586.87	65.9	100	100
623255.89	6082589.84	235.87005615234375	269.970054626464844	270
623255.85	6082591.28	345.8599853515625	379.95998382568359	380
623255.84	6082591.69	440.8599853515625	474.95998382568359	475
623255.82	6082592.48	620.8599853515625	654.95998382568359	655
623255.79	6082593.52	716.8499755859375	750.94997406005859	751
623255.75	6082594.67	821.840087890625	855.94008636474609	856
623255.72	6082595.72	917.840087890625	951.94008636474609	952
623255.7	6082596.34	965.830078125	999.93007659912109	1000
623255.67	6082597.5	1071.8299560546875	1105.92995452880859	1106
623255.65	6082598.12	1166.8299560546875	1200.92995452880859	1201
623255.64	6082598.75	1262.8199462890625	1296.91994476318359	1297
623255.6	6082600.1	1365.81005859375	1399.91005706787109	1400
623255.43	6082605.98	1702.76	1736.86	1737
623255.33	6082609.53	1906.72998046875	1940.82997894287109	1941
623255.27	6082611.4	2013.7099609375	2047.80995941162109	2048
