MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
28.64	28.64	0	0	2000
589.1400146	589.1400146	560.5	593	1890.387939
670.540039	670.540039	641.9	677	1938.0959473
697.12	697.12	668.47998	705	1898.5684814
725.25	725.25	696.6099854	735	1875.331665
771.24	771.24	742.6	779	2090.4555664
866.289978	866.289978	837.6499634	886	1776.635376
995.969971	995.969971	967.3299561	1028	1826.4785156
1015.24	1015.24	986.6	1042	2752.8483887
1030.0799561	1030.0799561	1001.4399414	1053	2698.195801
1049.63	1049.63	1020.99	1066	3007.6972656
1077.9200439	1077.9200439	1049.280029	1087	2694.2858887
1114.219971	1114.219971	1085.5799561	1113	2792.299561
1151.2	1151.2	1122.5599365	1138	2958.401123
1170.0699463	1170.0699463	1141.4299316	1152	2695.7253418
1225.530029	1225.530029	1196.8900146	1193	2705.3693848
1261.3399658	1261.3399658	1232.7	1221	2557.8527832
