MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
28.64	28.64	0	0	2000
47.1800117	47.1800117	18.5400124	13.5546	2735.6044922
50.888031	50.888031	22.2480316	17.5546	1854.0096436
54.5960236	54.5960236	25.9560261	21.5546	1853.9962158
58.3040352	58.3040352	29.6640358	25.5546	1854.0063477
65.7200317	65.7200317	37.0800285	33.5546	1853.998291
73.1360474	73.1360474	44.4960442	41.5546	1854.00354
80.5520477	80.5520477	51.9120445	49.5546	1854
84.2600632	84.2600555	55.62006	53.5546	1854.0089111
87.9680481	87.9680481	59.3280449	57.5546	1853.9926758
91.6760635	91.6760559	63.03606	61.5546	1854.0072021
95.3840637	95.3840637	66.7440643	65.5545959	1854.001709
99.0920563	99.0920563	70.4520569	69.5545959	1853.9963379
102.8	102.8	74.1600952	73.5545959	1854.0179443
125.0481033	125.0481033	96.4081039	97.5546036	1854
128.7561035	128.7561035	100.1161041	101.555	1853.8170166
132.4640961	132.4640961	103.8240967	105.555	1853.996582
136.1721039	136.1721039	107.5321045	109.555	1854.0036621
139.8800964	139.8800964	111.240097	113.555	1853.996582
143.5881042	143.5881042	114.9481049	117.555	1854.0036621
147.2960968	147.2960968	118.6560974	121.555	1853.9967041
151.0041046	151.0041046	122.3641052	125.5549927	1854.00708
154.7121124	154.7121124	126.072113	129.5550079	1854
158.420105	158.420105	129.7801056	133.5549927	1854
162.1280975	162.1280975	133.4880981	137.5550079	1853.9874268
165.8361053	165.8361053	137.196106	141.5549927	1854.006958
169.5440979	169.5440979	140.9040985	145.5550079	1853.9931641
173.2521057	173.2521057	144.6121063	149.5549927	1854.006958
176.9600983	176.9600983	148.3200989	153.5550079	1853.9932861
180.6681061	180.6681061	152.0281067	157.5549927	1854.00708
184.3760986	184.3760986	155.736099	161.5550079	1853.9932861
188.0841064	188.0841064	159.4441071	165.5549927	1854.00708
199.208099	199.208099	170.5681	177.5549927	1854
202.9161072	202.9161072	174.2761078	181.554001	1854.4630127
210.3321075	210.3321075	181.6921082	189.554001	1854
214.0400848	214.04007	185.4	193.554001	1853.986084
217.7480011	217.7480011	189.1080017	197.554001	1853.9602051
221.4560852	221.4560852	192.8160858	201.554001	1854.0402832
225.1640015	225.1640015	196.5240021	205.554001	1853.9672852
228.8719788	228.8719788	200.231979	209.554001	1853.97876
232.5799866	232.5799866	203.9399872	213.554001	1854.006958
236.2879944	236.2879944	207.647995	217.554001	1854
239.9960022	239.9960022	211.3560028	221.554001	1854.006958
243.7039948	243.7039948	215.0639954	225.554001	1853.99353
247.4120026	247.4120026	218.7720032	229.554001	1854.00708
251.12	251.12	222.48	233.554001	1853.9936523
254.8280029	254.8280029	226.1880035	237.554001	1854.00708
258.536011	258.536011	229.8960114	241.554001	1854
262.243988	262.243988	233.6039886	245.554001	1853.994141
269.66	269.66	241.02	253.5539856	1854.00708
273.3680115	273.3680115	244.7280121	257.5539856	1854
277.0759888	277.0759888	248.4359741	261.5540161	1853.977417
280.7840881	280.7840881	252.1440887	265.5540161	1854.04834
284.4920959	284.4920654	255.8520813	269.5539856	1854.013916
291.9081116	291.9080811	263.2680969	277.5540161	1854
295.6160889	295.6160889	266.9760742	281.5540161	1853.9875488
299.3240967	299.3240967	270.684082	285.5539856	1854.013916
303.0322266	303.0322266	274.3922119	289.5539856	1854.0611572
306.7402344	306.7402344	278.10022	293.5540161	1854
310.4482422	310.4482422	281.8082275	297.5539856	1854.013916
314.156219	314.15625	285.5162354	301.5549927	1853.5181885
317.8642273	317.8642578	289.2242432	305.5549927	1854.0140381
325.2802429	325.2802734	296.6402588	313.5549927	1854
328.98819	328.988159	300.348175	317.5550232	1853.9637451
332.696289	332.696289	304.0562744	321.5549927	1854.0626221
336.4042053	336.4041748	307.764191	325.5549927	1853.9512939
340.1122131	340.1121826	311.4721985	329.5549927	1854
343.8203125	343.8203125	315.1802979	333.5550232	1854.04895
354.9443359	354.9443359	326.3043213	345.5549927	1854.004761
358.6523438	358.6523438	330.012329	349.5549927	1854.013916
362.360321	362.3603516	333.7203369	353.5549927	1853.988159
369.7763367	369.7763672	341.1363525	361.5550232	1854
373.4843445	373.484375	344.84436	365.5549927	1854.0140381
377.1924133	377.1923828	348.5523987	369.5549927	1854.0239258
380.900391	380.900391	352.260376	373.5549927	1853.9882813
384.6083984	384.6083984	355.9683838	377.5550232	1854
388.3164063	388.3164063	359.6763916	381.5549927	1854.013916
392.0244141	392.0244141	363.384399	385.5549927	1854
395.7324219	395.7324219	367.0924072	389.5549927	1854
399.44043	399.44043	370.800415	393.5549927	1854.013916
406.8564453	406.8564453	378.216431	401.5549927	1854
410.5645142	410.5645142	381.9245	405.5550232	1854.0233154
414.2724915	414.272461	385.6324768	409.5549927	1854.002319
417.9804382	417.9804688	389.3404541	413.5549927	1853.977051
421.6885071	421.6884766	393.0484924	417.5549927	1854.0230713
425.3965149	425.3964844	396.7565	421.5550232	1854
429.1044922	429.1044922	400.4644775	425.5549927	1854.0025635
436.5205078	436.5205078	407.8804932	433.5549927	1854
440.2285156	440.2285156	411.588501	437.5549927	1854.013916
443.9365234	443.9365234	415.2965088	441.5549927	1854
447.6445923	447.6445923	419.0045776	445.5549927	1854.022583
451.352539	451.352539	422.7125244	449.5550232	1853.9776611
455.0606079	455.0606079	426.4205933	453.5549927	1854.0362549
458.7685852	458.7685547	430.128571	457.5549927	1853.9888916
466.184601	466.18457	437.5445862	465.5550232	1854
469.8926086	469.8925781	441.252594	469.5549927	1854.013916
473.6005859	473.6005859	444.9605713	473.5549927	1853.9891357
477.3087158	477.3087158	448.6687012	477.5549927	1854.0611572
481.0166016	481.0166016	452.3765869	481.5550232	1853.9390869
484.7247314	484.7247314	456.0847168	485.5549927	1854.0749512
488.432739	488.432739	459.7927246	489.5549927	1854
492.140686	492.140686	463.5006714	493.5550232	1853.9608154
495.8486938	495.8486938	467.208679	497.5549927	1854.013916
499.5567017	499.5567017	470.916687	501.5550232	1853.9862061
503.264709	503.264709	474.6246948	505.5549622	1854.02771
506.9726868	506.9726563	478.3326721	509.5549927	1853.98938
510.6806946	510.6806641	482.04068	513.5549927	1854
514.3886719	514.3886719	485.7486572	517.5549927	1853.989502
521.8046875	521.8046875	493.1646729	525.5549927	1854
525.5128174	525.5128174	496.8728027	529.5549927	1854.0611572
529.2208252	529.2208252	500.580811	533.5549927	1854.02771
532.928772	532.928772	504.2887573	537.5549927	1853.960083
540.3447876	540.3447876	511.7047729	545.5549927	1854
544.0529175	544.0529175	515.4129028	549.5549927	1854.0805664
547.7609253	547.7609253	519.120911	553.5549927	1854
551.4688721	551.4688721	522.8288574	557.5549927	1853.9598389
555.17688	555.17688	526.5368652	561.5550537	1854
558.8848877	558.8848877	530.244873	565.5549927	1854.02771
577.4249268	577.4249268	548.7849121	585.5549927	1854
581.1328735	581.1328735	552.4928589	589.5550537	1853.9592285
584.8410645	584.8410645	556.20105	593.5549927	1854.129761
592.25708	592.25708	563.6170654	601.5549927	1854
593.74	593.74	565.1	603.3120117	1687.9777832
593.8900146	593.8900146	565.25	604.094971	383.220459
594.6400146	594.6400146	566	604.2510376	9612.6142578
594.790039	594.790039	566.1500244	604.5629883	961.7852173
595.0900879	595.0900879	566.4500732	604.7189941	3847.140869
595.24	595.24	566.6	604.875	1921.27124
595.3900146	595.3900146	566.75	605.030029	1936.1477051
595.540039	595.540039	566.9	605.1859741	1923.5704346
595.69	595.69	567.0499878	605.3400269	1947.06604
595.8400879	595.8400879	567.2	605.4949951	1937.2111816
595.99	595.99	567.3499756	605.5549927	4994.92334
596.1400146	596.1400146	567.5	605.6489868	3192.126709
596.290039	596.290039	567.6500244	605.80304	1948.13623
596.44	596.44	567.8	605.95697	1947.81958
596.5900879	596.5900879	567.9500732	606.112	1936.4667969
596.74	596.74	568.1	606.2659912	1946.5510254
596.8900146	596.8900146	568.25	606.4219971	1923.5704346
597.040039	597.040039	568.4	606.5769653	1936.1477051
597.19	597.19	568.5499878	606.7330322	1921.7788086
